did,name,NumberOfClasses,NumberOfInstances,NumberOfFeatures,NumberOfMissingValues,classes_bin,samples_bin,features_bin_metadata,cell_metadata
266,BNG(heart-c),5.0,1000000.0,14.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
269,BNG(hepatitis),2.0,1000000.0,20.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
77,"BNG(breast-cancer,nominal,1000000)",2.0,1000000.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
246,BNG(labor),2.0,1000000.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
162,SEA(50000),2.0,1000000.0,4.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
161,SEA(50),2.0,1000000.0,4.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
160,RandomRBF_50_1E-4,5.0,1000000.0,11.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
247,BNG(letter),26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
262,BNG(cylinder-bands),2.0,1000000.0,40.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
128,"BNG(cylinder-bands,nominal,1000000)",2.0,1000000.0,40.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
258,BNG(credit-a),2.0,1000000.0,16.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
159,RandomRBF_50_1E-3,5.0,1000000.0,11.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
158,RandomRBF_10_1E-4,5.0,1000000.0,11.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
73,"BNG(labor,nominal,1000000)",2.0,1000000.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
74,"BNG(letter,nominal,1000000)",26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1385,"BNG(letter,10000,5)",26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1384,"BNG(letter,10000,1)",26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1185,BNG(wine),3.0,1000000.0,14.0,0.0,3,10000+,10-20,classes=3 | samples=10000+ | features=10-20
1186,BNG(eucalyptus),5.0,1000000.0,20.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
124,"BNG(credit-a,nominal,1000000)",2.0,1000000.0,16.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
43489,Census-(Augmented),2.0,1000000.0,15.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
152,Hyperplane_10_1E-3,2.0,1000000.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
153,Hyperplane_10_1E-4,2.0,1000000.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
138,"BNG(heart-h,nominal,1000000)",5.0,1000000.0,14.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
140,"BNG(heart-statlog,nominal,1000000)",2.0,1000000.0,14.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1205,BNG(Australian),2.0,1000000.0,15.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1212,BNG(SPECTF),2.0,1000000.0,45.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
1235,Agrawal1,2.0,1000000.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
1236,Stagger1,2.0,1000000.0,4.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
267,BNG(heart-statlog),2.0,1000000.0,14.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
40519,BNG(segment),7.0,1000000.0,20.0,0.0,7-8,10000+,10-20,classes=7-8 | samples=10000+ | features=10-20
1381,"BNG(letter,5000,1)",26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1380,"BNG(letter,1000,10)",26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1383,"BNG(letter,5000,10)",26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1382,"BNG(letter,5000,5)",26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1182,BNG(adult),2.0,1000000.0,15.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1181,BNG(spectf_test),2.0,1000000.0,45.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
1179,BNG(solar-flare),3.0,1000000.0,13.0,0.0,3,10000+,10-20,classes=3 | samples=10000+ | features=10-20
1386,"BNG(letter,10000,10)",26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1379,"BNG(letter,1000,5)",26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1378,"BNG(letter,1000,1)",26.0,1000000.0,17.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1238,Stagger3,2.0,1000000.0,4.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
45583,click,2.0,1000000.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
45556,Click,2.0,1000000.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
40515,BNG(spambase),2.0,1000000.0,58.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
1177,BNG(primary-tumor),22.0,1000000.0,18.0,0.0,15+,10000+,10-20,classes=15+ | samples=10000+ | features=10-20
1237,Stagger2,2.0,1000000.0,4.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
147,"BNG(waveform-5000,nominal,1000000)",3.0,1000000.0,41.0,0.0,3,10000+,40-60,classes=3 | samples=10000+ | features=40-60
142,"BNG(hepatitis,nominal,1000000)",2.0,1000000.0,20.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
135,BNG(spambase),2.0,1000000.0,58.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
136,"BNG(heart-c,nominal,1000000)",5.0,1000000.0,14.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
130,BNG(segment),7.0,1000000.0,20.0,0.0,7-8,10000+,10-20,classes=7-8 | samples=10000+ | features=10-20
148,"BNG(zoo,nominal,1000000)",7.0,1000000.0,18.0,0.0,7-8,10000+,10-20,classes=7-8 | samples=10000+ | features=10-20
42468,hls4ml_lhc_jets_hlf,5.0,830000.0,17.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
1178,BNG(solar-flare),2.0,663552.0,13.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46041,Stylized_Meta_Album_INS2_STY_Extended,20.0,600000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46053,Stylized_Meta_Album_PLT_NET_STY_Extended,20.0,600000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
1596,covertype,7.0,581012.0,55.0,0.0,7-8,10000+,40-60,classes=7-8 | samples=10000+ | features=40-60
150,covertype,7.0,581012.0,55.0,0.0,7-8,10000+,40-60,classes=7-8 | samples=10000+ | features=40-60
293,covertype,2.0,581012.0,55.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
46799,AVIDa-hIL6,2.0,573891.0,4.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
44112,covertype,2.0,566602.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44081,covertype,2.0,566602.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
44121,covertype,2.0,566602.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1169,airlines,2.0,539383.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
41672,airlines,2.0,539383.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
42344,sf-police-incidents,2.0,538638.0,7.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
47264,U.S._Inter-State_Migration_by_Age_Radaris_Anonymized,54.0,500000.0,3.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
45575,Epsilon,2.0,500000.0,2001.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
1113,KDDCup99,23.0,494020.0,42.0,0.0,15+,10000+,40-60,classes=15+ | samples=10000+ | features=40-60
351,codrna,2.0,488565.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
1241,codrnaNorm,2.0,488565.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
46029,Stylized_Meta_Album_AWA_STY_Extended,20.0,437820.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
43948,covertype,2.0,423680.0,55.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
44036,covertype,2.0,423680.0,55.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
44159,covertype,2.0,423680.0,55.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
274,20_newsgroups.drift,2.0,399940.0,1002.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
40517,20_newsgroups.drift,2.0,399940.0,1001.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
1219,Click_prediction_small,2.0,399482.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41748,FOREX_usddkk-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41714,FOREX_eurpln-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41710,FOREX_eurhkd-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41711,FOREX_eurusd-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41745,FOREX_chfjpy-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41747,FOREX_audnzd-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41708,FOREX_eurchf-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41743,FOREX_eurpln-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41741,FOREX_eursgd-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41822,FOREX_audnzd-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41852,FOREX_eurchf-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41853,FOREX_eurnzd-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41850,FOREX_eursek-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41845,FOREX_eurusd-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41837,FOREX_audjpy-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41840,FOREX_eurnok-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41854,FOREX_audcad-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41855,FOREX_eurtry-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41775,FOREX_usdcad-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41774,FOREX_eurhuf-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41793,FOREX_eurjpy-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41794,FOREX_nzdusd-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41786,FOREX_eurgbp-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41789,FOREX_eurnzd-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41796,FOREX_eurrub-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41795,FOREX_gbpusd-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41798,FOREX_usdcad-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41800,FOREX_cadjpy-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41802,FOREX_audcad-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41807,FOREX_nzdusd-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41808,FOREX_eurgbp-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41809,FOREX_audusd-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41751,FOREX_eurnok-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41757,FOREX_usdchf-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41755,FOREX_cadchf-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41752,FOREX_eurjpy-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41771,FOREX_eurtry-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41772,FOREX_audchf-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41770,FOREX_audjpy-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41761,FOREX_eursek-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41749,FOREX_gbpusd-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41823,FOREX_eurcad-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41836,FOREX_cadchf-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41819,FOREX_eurrub-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41810,FOREX_audchf-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41817,FOREX_audusd-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41814,FOREX_euraud-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41813,FOREX_audsgd-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41778,FOREX_eurdkk-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41776,FOREX_eurhkd-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41861,FOREX_euraud-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41876,FOREX_eurdkk-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41869,FOREX_eursgd-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41880,FOREX_chfsgd-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41887,FOREX_audsgd-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41890,FOREX_usddkk-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41717,FOREX_usdjpy-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41895,FOREX_eurhuf-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41892,FOREX_usdchf-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41738,FOREX_chfsgd-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41728,FOREX_cadjpy-minute-High,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41729,FOREX_chfjpy-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41732,FOREX_usdjpy-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41735,FOREX_eurcad-minute-Close,2.0,375840.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46062,Stylized_Meta_Album_RSICB_STY_Extended,20.0,373820.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46686,DBPedia,219.0,342781.0,4.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
125,"BNG(page-blocks,nominal,295245)",5.0,295245.0,11.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
259,BNG(page-blocks),5.0,295245.0,11.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
46057,Stylized_Meta_Album_RESISC_STY_Extended,20.0,280000.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
41991,Kuzushiji-49,49.0,270912.0,785.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
1502,skin-segmentation,2.0,245057.0,4.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
46025,Stylized_Meta_Album_APL_STY_Extended,20.0,204100.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
42395,SantanderCustomerSatisfaction,2.0,200000.0,202.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
42435,SantanderCustomerSatisfaction,2.0,200000.0,202.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
45566,SantanderCustomerSatisfaction,2.0,200000.0,201.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
44340,Meta_Album_INS_Extended,117.0,170506.0,3.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
1217,Click_prediction_small,2.0,149639.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1509,walking-activity,22.0,149332.0,5.0,0.0,15+,10000+,3-5,classes=15+ | samples=10000+ | features=3-5
265,BNG(glass),7.0,137781.0,10.0,0.0,7-8,10000+,5-10,classes=7-8 | samples=10000+ | features=5-10
133,"BNG(glass,nominal,137781)",7.0,137781.0,10.0,0.0,7-8,10000+,5-10,classes=7-8 | samples=10000+ | features=5-10
41039,EMNIST_Balanced,47.0,131600.0,785.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
143,BNG(vote),2.0,131072.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
41150,MiniBooNE,2.0,130064.0,51.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
46805,college_scorecard,2.0,124699.0,119.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
273,IMDB.drama,2.0,120919.0,1002.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
45282,AfriSenti,3.0,111720.0,4.0,0.0,3,10000+,3-5,classes=3 | samples=10000+ | features=3-5
43439,Medical-Appointment-No-Shows,2.0,110527.0,13.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
180,covertype,7.0,110393.0,55.0,0.0,7-8,10000+,40-60,classes=7-8 | samples=10000+ | features=40-60
46853,sepsis_survival_minimal_clinical_records,2.0,110341.0,4.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
42396,aloi,1000.0,108000.0,129.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
45563,Dota2-Games-Results-Data-Set,2.0,102944.0,117.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
4541,Diabetes130US,3.0,101766.0,50.0,0.0,3,10000+,40-60,classes=3 | samples=10000+ | features=40-60
1242,vehicleNorm,2.0,98528.0,101.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
357,vehicle_sensIT,2.0,98528.0,101.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
40923,Devnagari-Script,46.0,92000.0,1025.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
46033,Stylized_Meta_Album_BRD_STY_Extended,20.0,90620.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
40922,Run_or_walk_information,2.0,88588.0,7.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
46037,Stylized_Meta_Album_DOG_STY_Extended,20.0,84880.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46361,Risk_Level_Classification,3.0,78600.0,19.0,0.0,3,10000+,10-20,classes=3 | samples=10000+ | features=10-20
46955,SDSS17,3.0,78053.0,12.0,0.0,3,10000+,10-20,classes=3 | samples=10000+ | features=10-20
46859,Santander_Customer_Satisfaction,2.0,76020.0,370.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
45739,covertype,2.0,73503.0,4.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
45927,Products,5.0,73503.0,4.0,0.0,5,10000+,3-5,classes=5 | samples=10000+ | features=3-5
45922,Test_Dataset,2.0,73503.0,3.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
45745,TestDatasetOfLocations,2.0,73503.0,4.0,0.0,2,10000+,3-5,classes=2 | samples=10000+ | features=3-5
44076,MiniBooNE,2.0,72998.0,51.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
44088,MiniBooNE,2.0,72998.0,51.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
43974,MiniBooNE,2.0,72998.0,51.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
44128,MiniBooNE,2.0,72998.0,51.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
44119,MiniBooNE,2.0,72998.0,51.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
45022,Diabetes130US,2.0,71090.0,8.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
46066,Stylized_Meta_Album_SPT_STY_Extended,20.0,70220.0,7.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
45547,Cardiovascular-Disease-dataset,2.0,70000.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
40668,connect-4,3.0,67557.0,43.0,0.0,3,10000+,40-60,classes=3 | samples=10000+ | features=40-60
41983,CIFAR-100,100.0,60000.0,3073.0,0.0,15+,10000+,100+,classes=15+ | samples=10000+ | features=100+
40685,shuttle,7.0,58000.0,10.0,0.0,7-8,10000+,5-10,classes=7-8 | samples=10000+ | features=5-10
44079,jannis,2.0,57580.0,55.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
45021,jannis,2.0,57580.0,55.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
43977,jannis,2.0,57580.0,55.0,0.0,2,10000+,40-60,classes=2 | samples=10000+ | features=40-60
